geoID,city,pop
2013,Akutan,1027
2016,Unalaska,4376
2020,Anchorage,291826
2050,Bethel,6080
2060,Naknek,544
2068,Healy,1021
2070,Dillingham,2329
2090,Fairbanks,31535
2100,Haines,1713
2105,Hoonah,760
2110,Juneau,31275
2122,Kenai,7100
2130,Ketchikan,8050
2150,Kodiak,6130
2158,Hooper Bay,1093
2164,Newhalen,190
2170,Wasilla,7831
2180,Nome,3598
2185,Utqiagbik,4212
2188,Kotzebue,3201
2195,Petersburg,2948
2198,Craig,1201
2220,Sitka,8881
2230,Skagway,968
2240,Deltana,2251
2261,Valdez,3976
2282,Yakutat,662
2290,Fort Yukon,583
